card_name,set,set_name,modern,usd,eur
Assassin's Trophy,grn,Guilds of Ravnica,not_legal,24.66,20.15
"Aurelia, Exemplar of Justice",grn,Guilds of Ravnica,not_legal,10.61,7.93
Divine Visitation,grn,Guilds of Ravnica,not_legal,6.54,4.91
Doom Whisperer,grn,Guilds of Ravnica,not_legal,17.77,9.45
Dream Eater,grn,Guilds of Ravnica,not_legal,3.06,2.88
Knight of Autumn,grn,Guilds of Ravnica,not_legal,4.5,4.24
"Lazav, the Multifarious",grn,Guilds of Ravnica,not_legal,5.73,4.26
Legion Warboss,grn,Guilds of Ravnica,not_legal,3.34,2.86
March of the Multitudes,grn,Guilds of Ravnica,not_legal,5.25,3.89
Mission Briefing,grn,Guilds of Ravnica,not_legal,8.15,7.13
Nullhide Ferox,grn,Guilds of Ravnica,not_legal,7.95,5.56
Overgrown Tomb,grn,Guilds of Ravnica,legal,6.73,4.96
"Ral, Izzet Viceroy",grn,Guilds of Ravnica,not_legal,9.97,6.83
Sacred Foundry,grn,Guilds of Ravnica,legal,7.36,5.01
Steam Vents,grn,Guilds of Ravnica,legal,8.0,5.89
Temple Garden,grn,Guilds of Ravnica,legal,5.76,4.63
Underrealm Lich,grn,Guilds of Ravnica,not_legal,4.61,3.24
Unmoored Ego,grn,Guilds of Ravnica,not_legal,2.12,2.04
"Vraska, Golgari Queen",grn,Guilds of Ravnica,not_legal,12.86,9.43
Watery Grave,grn,Guilds of Ravnica,legal,8.2,6.02
"Arixmethes, Slumbering Isle",c18,Commander 2018,not_legal,4.49,5.4
Enchantress's Presence,c18,Commander 2018,not_legal,2.29,2.03
Estrid's Invocation,c18,Commander 2018,not_legal,3.99,2.05
Lord Windgrace,c18,Commander 2018,not_legal,5.49,5.28
Nesting Dragon,c18,Commander 2018,not_legal,4.4,2.02
"Saheeli, the Gifted",c18,Commander 2018,not_legal,4.82,4.64
Terminus,c18,Commander 2018,legal,3.9,2.28
Treasure Nabber,c18,Commander 2018,not_legal,6.37,5.01
Tuvasa the Sunlit,c18,Commander 2018,not_legal,2.81,2.24
"Varina, Lich Queen",c18,Commander 2018,not_legal,1.99,2.8
Windgrace's Judgment,c18,Commander 2018,not_legal,7.08,5.12
"Xantcha, Sleeper Agent",c18,Commander 2018,not_legal,3.99,2.14
"Yuriko, the Tiger's Shadow",c18,Commander 2018,not_legal,13.93,11.94
Aggressive Mammoth,m19,Core Set 2019,legal,2.8,2.52
"Ajani, Adversary of Tyrants",m19,Core Set 2019,legal,8.1,8.4
"Ajani, Wise Counselor",m19,Core Set 2019,legal,6.14,7.1
"Arcades, the Strategist",m19,Core Set 2019,legal,3.38,4.12
"Chromium, the Mutable",m19,Core Set 2019,legal,1.74,3.23
Crucible of Worlds,m19,Core Set 2019,legal,14.37,11.03
Death Baron,m19,Core Set 2019,legal,2.74,2.87
"Liliana, the Necromancer",m19,Core Set 2019,legal,7.16,9.85
"Liliana, Untouched by Death",m19,Core Set 2019,legal,4.13,5.32
Mist-Cloaked Herald,m19,Core Set 2019,legal,0.99,3.03
"Nicol Bolas, the Ravager // Nicol Bolas, the Arisen",m19,Core Set 2019,legal,22.55,19.26
Omniscience,m19,Core Set 2019,legal,4.28,3.94
Resplendent Angel,m19,Core Set 2019,legal,8.76,8.81
"Sai, Master Thopterist",m19,Core Set 2019,legal,2.88,3.06
"Sarkhan, Dragonsoul",m19,Core Set 2019,legal,8.76,9.51
"Sarkhan, Fireblood",m19,Core Set 2019,legal,11.83,12.23
Scapeshift,m19,Core Set 2019,legal,7.9,8.16
Supreme Phantom,m19,Core Set 2019,legal,2.14,3.19
"Tezzeret, Artifice Master",m19,Core Set 2019,legal,5.55,7.4
"Tezzeret, Cruel Machinist",m19,Core Set 2019,legal,4.73,5.26
Vivien of the Arkbow,m19,Core Set 2019,legal,5.99,5.06
Vivien Reid,m19,Core Set 2019,legal,6.52,7.81
Ancestor Dragon,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,0.39,2.62
Jiang Yanggu,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.07,6.43
Mu Yanling,gs1,Global Series Jiang Yanggu & Mu Yanling,not_legal,6.97,7.89
Gifts Ungiven,ss1,Signature Spellbook: Jace,legal,3.49,2.73
Mystical Tutor,ss1,Signature Spellbook: Jace,not_legal,5.45,2.34
Ash Barrens,cm2,Commander Anthology Volume II,not_legal,2.04,2.32
"Atraxa, Praetors' Voice",cm2,Commander Anthology Volume II,not_legal,16.31,11.13
Blade of Selves,cm2,Commander Anthology Volume II,not_legal,5.27,3.22
Blasphemous Act,cm2,Commander Anthology Volume II,legal,2.45,2.18
Caged Sun,cm2,Commander Anthology Volume II,legal,6.96,3.77
"Damia, Sage of Stone",cm2,Commander Anthology Volume II,not_legal,6.43,2.66
"Daretti, Scrap Savant",cm2,Commander Anthology Volume II,not_legal,4.56,2.03
Deepglow Skate,cm2,Commander Anthology Volume II,not_legal,6.64,2.99
Eternal Witness,cm2,Commander Anthology Volume II,legal,6.92,3.98
Fiery Confluence,cm2,Commander Anthology Volume II,not_legal,13.22,13.43
"Gisela, Blade of Goldnight",cm2,Commander Anthology Volume II,legal,4.47,2.47
Grave Pact,cm2,Commander Anthology Volume II,legal,11.06,6.5
Hardened Scales,cm2,Commander Anthology Volume II,legal,5.12,3.88
Kalonian Hydra,cm2,Commander Anthology Volume II,legal,4.99,2.66
